procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0  11544 57957236 253504 744148    0    0     0     0 34026 8317 96  1  3  0  0	
32  0  11544 57955128 253504 744152    0    0     0     0 37641 8439 97  3  0  0  0	
32  0  11544 57955996 253504 744176    0    0     0     0 36846 8106 90  3  7  0  0	
33  0  11544 57956624 253504 744180    0    0     0     0 33039 8558 99  1  0  0  0	
32  0  11544 57955260 253504 744216    0    0     0     0 40957 8057 86  6  8  0  0	
32  0  11544 57956128 253504 744220    0    0     0     0 32995 8436 100  0  0  0  0	
32  0  11544 57954896 253504 744232    0    0     0     0 41620 8119 86  6  8  0  0	
32  0  11544 57955764 253504 744252    0    0     0     0 33004 8444 100  0  0  0  0	
32  0  11544 57954524 253504 744260    0    0     0     0 41682 8093 86  7  8  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0  11544 57955136 253504 744300    0    0     0     0 33006 8450 100  0  0  0  0	
32  0  11544 57954764 253504 744304    0    0     0     0 41234 8100 86  7  8  0  0	
32  0  11544 57955756 253504 744336    0    0     0     0 32995 8440 100  0  0  0  0	
32  0  11544 57955260 253504 744340    0    0     0     0 41578 8180 86  6  7  0  0	
32  0  11544 57955136 253504 744376    0    0     0     0 33002 8443 100  0  0  0  0	
32  0  11544 57953284 253504 744384    0    0     0     0 41582 8167 86  6  8  0  0	
32  0  11544 57954152 253504 744412    0    0     0     0 33040 8508 100  0  0  0  0	
14  0  11544 57951920 253504 744416    0    0     0    20 40864 8067 87  6  6  0  0	
32  0  11544 57954268 253504 744444    0    0     0     0 33449 8396 99  0  1  0  0	
29  0  11544 57952656 253504 744452    0    0     0     0 38511 8384 96  4  0  0  0	
33  0  11544 57953640 253504 744472    0    0     0     0 35213 8052 90  3  7  0  0	
32  0  11544 57953516 253504 744476    0    0     0     0 33708 8383 99  1  0  0  0	
32  0  11544 57952772 253504 744516    0    0     0     0 40343 8067 87  5  8  0  0	
32  0  11544 57953640 253504 744520    0    0     0     0 33051 8411 100  0  0  0  0	
32  0  11544 57951904 253504 744528    0    0     0     0 41703 8024 86  7  8  0  0	
32  0  11544 57953260 253504 744552    0    0     0     0 33032 8443 100  0  0  0  0	
32  0  11544 57951772 253504 744560    0    0     0     0 41547 8181 87  6  6  0  0	
32  0  11544 57953640 253504 744592    0    0     0    20 33029 8456 100  0  0  0  0	
32  0  11544 57953268 253504 744600    0    0     0     0 41275 8175 86  7  8  0  0	
32  0  11544 57953640 253504 744636    0    0     0     0 33012 8447 100  0  0  0  0	
32  0  11544 57952516 253504 744640    0    0     0     0 41459 8527 86  6  8  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0  11544 57953384 253504 744672    0    0     0     0 32300 9027 97  0  3  0  0	
11  0  11544 57953632 253504 744676    0    0     0     0 26851 9141 70  8 21  0  0	
11  0  11544 57953632 253504 744680    0    0     0     0 12488 5837 16 16 69  0  0	
32  0  11544 57952640 253504 744712    0    0     0     0 37495 19945 70  6 24  0  0	
32  0  11544 57952896 253504 744712    0    0     0     0 32257 10289 97  0  3  0  0	
11  0  11544 57953020 253504 744716    0    0     0     0 18607 6639 38 15 48  0  0	
32  0  11544 57951284 253504 744728    0    0     0     0 24520 32436 22 15 63  0  0	
32  0  11544 57952648 253504 744748    0    0     0     0 32244 9596 96  0  3  0  0	
11  0  11544 57952524 253504 744756    0    0     0     0 30942 9511 87  5  8  0  0	
11  0  11544 57952524 253504 744780    0    0     0     0 12909 5552 17 15 68  0  0	
32  0  11544 57951408 253504 744784    0    0     0     0 37535 8753 73  6 21  0  0	
33  0  11544 57952400 253504 744788    0    0     0     0 32299 8900 97  0  3  0  0	
11  0  11544 57950912 253504 744792    0    0     0     0 20004 5799 38 15 47  0  0	
32  0  11544 57951044 253504 744828    0    0     0     0 37755 7985 80  4 16  0  0	
32  0  11544 57951780 253504 744836    0    0     0     0 33038 8390 100  0  0  0  0	
34  0  11544 57951160 253504 744860    0    0     0     0 41309 8165 87  6  6  0  0	
32  0  11544 57952160 253504 744868    0    0     0    16 33038 8422 100  0  0  0  0	
33  0  11544 57950052 253504 744872    0    0     0     0 41429 8094 87  6  7  0  0	
32  0  11544 57951788 253504 744880    0    0     0     0 33033 8391 100  0  0  0  0	
33  0  11544 57950292 253504 744880    0    0     0     0 41893 8203 87  6  7  0  0	
33  0  11544 57951656 253504 744888    0    0     0     0 33048 8398 100  0  0  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0  11544 57950788 253504 744892    0    0     0     0 41680 8279 86  6  7  0  0	
32  0  11544 57951532 253504 744896    0    0     0     0 33060 8445 100  0  0  0  0	
33  0  11544 57949912 253504 744896    0    0     0     0 41553 8262 87  6  7  0  0	
32  0  11544 57951780 253504 744900    0    0     0     0 33026 8439 100  0  0  0  0	
32  0  11544 57949424 253504 744904    0    0     0     0 41555 8189 85  7  8  0  0	
32  0  11544 57951532 253504 744916    0    0     0     0 33031 8447 100  0  0  0  0	
 8  0  11544 57949300 253504 744916    0    0     0     0 41236 8173 89  6  5  0  0	
32  0  11544 57951284 253504 744924    0    0     0     0 33530 8446 98  0  1  0  0	
32  0  11544 57948672 253504 744928    0    0     0     0 38665 8447 96  4  0  0  0	
32  0  11544 57951524 253504 744932    0    0     0     0 34999 9633 88  3  9  0  0	
32  0  11544 57951028 253504 744936    0    0     0     0 32992 8480 98  1  0  0  0	
32  0  11544 57950532 253504 744944    0    0     0     0 33190 6842 53 12 35  0  0	
33  0  11544 57950912 253504 744948    0    0     0     0 33064 8519 100  0  0  0  0	
