procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  12848 62852988 231632 793580    0    0     0     0 3025 2422  3  0 97  0  0	
 2  0  12848 62852988 231632 793584    0    0     0     0 3107 2558  3  0 97  0  0	
 1  0  12848 62852980 231632 793584    0    0     0     0 3351 3115  3  0 97  0  0	
 1  0  12848 62852856 231632 793592    0    0     0     0 3476 3410  3  0 97  0  0	
 2  0  12848 62852856 231632 793592    0    0     0     0 3094 2554  3  0 97  0  0	
 2  0  12848 62852848 231632 793604    0    0     0     0 3035 2423  3  0 97  0  0	
 1  0  12848 62852848 231632 793604    0    0     0    16 3031 2442  3  0 96  1  0	
 1  0  12848 62852848 231632 793608    0    0     0     0 3021 2407  3  0 97  0  0	
 1  0  12848 62852856 231632 793608    0    0     0     0 3044 2432  3  0 97  0  0	
 2  0  12848 62852856 231632 793612    0    0     0     0 3050 2410  3  0 97  0  0	
 1  0  12848 62852856 231632 793612    0    0     0     0 3040 2420  3  0 97  0  0	
 1  0  12848 62852848 231632 793616    0    0     0     0 3061 2474  3  0 97  0  0	
 2  0  12848 62852848 231632 793616    0    0     0     0 3015 2415  3  0 97  0  0	
 1  0  12848 62852848 231632 793624    0    0     0     0 3022 2385  3  0 97  0  0	
 2  0  12848 62852848 231632 793624    0    0     0    12 3021 2422  3  0 96  1  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  12848 62852848 231632 793632    0    0     0     0 3008 2405  3  0 97  0  0	
 1  0  12848 62852848 231632 793632    0    0     0     0 3026 2402  3  0 97  0  0	
 3  0  12848 62852848 231632 793640    0    0     0     4 3008 2382  3  0 97  0  0	
 1  0  12848 62852848 231632 793640    0    0     0     0 3036 2404  3  0 97  0  0	
 1  0  12848 62852848 231632 793644    0    0     0     0 3010 2394  3  0 97  0  0	
 2  0  12848 62852980 231632 793644    0    0     0     0 3018 2421  3  0 97  0  0	
 1  0  12848 62852980 231632 793652    0    0     0    12 3020 2399  3  0 96  1  0	
 4  0  12848 62852980 231632 793652    0    0     0     8 3015 2412  3  0 97  0  0	
 2  0  12848 62852980 231632 793660    0    0     0     0 3050 2465  3  0 97  0  0	
 1  0  12848 62852980 231632 793660    0    0     0     0 3018 2423  3  0 97  0  0	
 2  0  12848 62852980 231632 793672    0    0     0     0 3011 2384  3  0 97  0  0	
 1  0  12848 62852988 231632 793672    0    0     0     0 3024 2415  3  0 97  0  0	
 2  0  12848 62852988 231632 793676    0    0     0     0 3015 2392  3  0 97  0  0	
 2  0  12848 62852996 231632 793676    0    0     0     0 3030 2427  3  0 97  0  0	
 1  0  12848 62852996 231632 793680    0    0     0     0 3018 2410  3  0 97  0  0	
 2  0  12848 62852996 231632 793680    0    0     0     0 3044 2431  3  0 97  0  0	
 1  0  12848 62852864 231632 793688    0    0     0     0 3038 2409  3  0 97  0  0	
 1  0  12848 62852864 231632 793688    0    0     0     0 3028 2419  3  0 97  0  0	
 3  0  12848 62852864 231632 793692    0    0     0     0 3034 2410  3  0 97  0  0	
 2  0  12848 62852864 231632 793692    0    0     0     0 3044 2431  3  0 97  0  0	
 3  0  12848 62852856 231632 793700    0    0     0     0 3076 2494  3  0 97  0  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  12848 62852856 231632 793700    0    0     0    16 3038 2461  3  0 96  1  0	
 1  0  12848 62852856 231632 793708    0    0     0     0 2977 2368  3  0 97  0  0	
 3  0  12848 62852856 231632 793708    0    0     0     0 3368 3177  3  0 97  0  0	
 1  0  12848 62852980 231632 793712    0    0     0     0 3539 3524  3  0 97  0  0	
 1  0  12848 62852980 231632 793712    0    0     0     0 3040 2479  3  0 97  0  0	
 2  0  12848 62852972 231632 793720    0    0     0     0 3282 2936  3  0 97  0  0	
 1  0  12848 62852972 231632 793720    0    0     0     0 3223 2802  3  0 97  0  0	
 2  0  12848 62852972 231632 793732    0    0     0     0 2986 2413  3  0 97  0  0	
 1  0  12848 62852972 231632 793732    0    0     0     0 3262 2889  3  0 97  0  0	
 2  0  12848 62852980 231632 793736    0    0     0     0 3629 3684  3  0 97  0  0	
 2  0  12848 62852980 231632 793740    0    0     0     0 3484 3378  3  0 97  0  0	
 1  0  12848 62852980 231632 793744    0    0     0     0 3176 2814  3  0 97  0  0	
 2  0  12848 62852988 231632 793744    0    0     0     0 3066 2574  3  0 97  0  0	
 2  0  12848 62852988 231632 793752    0    0     0     0 3561 3560  3  0 97  0  0	
 1  0  12848 62852988 231632 793752    0    0     0     0 3772 3984  3  0 97  0  0	
